"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /endpoint1",4176,750,760,760,760,780,820,920,1300,1652
"GET /endpoint2",4283,58,62,67,71,93,130,210,450,1332
"GET /endpoint3",4209,51,55,59,63,81,120,170,260,1263
"GET /endpoint4",4294,420,530,590,630,700,740,760,820,1581
"None Total",16962,120,520,750,750,750,760,800,850,1652
